Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","98","Croatia","5510","Production","1020","Milk, whole fresh goat","2015","2015","tonnes","6300","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1020","Milk, whole fresh goat","2016","2016","tonnes","10200","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1020","Milk, whole fresh goat","2017","2017","tonnes","10800","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1020","Milk, whole fresh goat","2018","2018","tonnes","11712","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","982","Milk, whole fresh sheep","2014","2014","tonnes","6100","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","982","Milk, whole fresh sheep","2015","2015","tonnes","6300","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","982","Milk, whole fresh sheep","2016","2016","tonnes","8300","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","982","Milk, whole fresh sheep","2017","2017","tonnes","9100","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","982","Milk, whole fresh sheep","2018","2018","tonnes","7111","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","868","Offals, edible, cattle","2014","2014","tonnes","12537.74","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","868","Offals, edible, cattle","2015","2015","tonnes","11886.79","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","868","Offals, edible, cattle","2016","2016","tonnes","12653.49","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","868","Offals, edible, cattle","2017","2017","tonnes","12045.85","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","868","Offals, edible, cattle","2018","2018","tonnes","12390.57","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1018","Offals, edible, goats","2014","2014","tonnes","89.6","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1018","Offals, edible, goats","2015","2015","tonnes","67.2","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1018","Offals, edible, goats","2016","2016","tonnes","56","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1018","Offals, edible, goats","2017","2017","tonnes","67.2","Im","FAO data based on imputation methodology"
